Date,Max EU price,Min EU price,Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Grain,popup_date
2018-11-01,77.73,45.58,61.82,77.73,45.58,63.3,58.62,54.3,52.62,50.08,67.81,56.68,69.3,63.69,67.43,66.6,55.25,55.42,56.68,62.29,,47.66,58.68,62.01,60.61,63.58,59.88,63.1,61.96,50.22,65.18,Monthly,Nov 18
2018-12-01,75.5,47.66,56.33,59.66,57.22,64.07,51.68,47.66,53.03,52.3,54.89,48.11,71.25,65.05,75.5,65.08,53.6,53.6,48.11,59.66,,51.48,53.38,61.86,64.17,64.5,56.44,62.43,61.81,50.86,57.69,Monthly,Dec 18
2019-01-01,79.05,49.41,56.03,60.48,67.38,69.32,55.38,50.88,55.79,55.81,61.15,49.41,75.25,73.23,79.05,67.65,56.65,56.53,49.41,58.3,,54.4,56.14,62.66,74.87,75.97,58.83,68.77,61.96,54.34,62.34,Monthly,Jan 19
2019-02-01,69.02,39.65,46.03,47.57,39.65,49.73,45.1,43.25,47.26,46.75,46.61,42.81,69.02,49.54,54.82,57.64,47.26,46.95,42.81,46.85,,45.95,49.48,54.73,48.56,49.92,45.32,49.68,54.02,45.56,48.73,Monthly,Feb 19
2019-03-01,59.85,30.61,33.07,37.61,35.14,39.56,33.03,34.4,40.08,39.98,33.85,30.61,59.85,39.69,49.26,52.83,40.05,39.97,30.61,40.5,,41.68,46.56,49.22,38.44,38.23,33.34,39.56,48.84,39.38,35.77,Monthly,Mar 19
2019-04-01,62.39,36.97,37.75,37.92,41.59,45.63,38.01,39.41,42.11,41.37,38.1,36.97,62.39,46.48,49.42,53.4,43.44,43.44,36.97,40.84,,41.34,53.2,50.65,45.01,46.64,39.31,45.63,50.4,39.66,38.68,Monthly,Apr 19
2019-05-01,65.96,35.06,37.92,38.0,41.63,41.47,37.87,37.7,42.35,39.86,37.2,37.83,65.96,42.12,48.9,50.67,44.3,44.14,37.83,40.19,,39.13,55.4,48.75,40.81,41.98,37.87,41.31,48.39,35.06,38.07,Monthly,May 19
2019-06-01,68.09,25.07,34.58,27.49,40.49,40.41,33.84,33.15,43.47,30.73,29.24,32.5,68.09,41.31,41.75,48.59,44.67,44.67,32.5,36.23,,28.51,58.34,47.18,38.87,41.47,34.56,40.02,47.16,25.07,31.85,Monthly,Jun 19
2019-07-01,62.19,34.79,40.08,37.76,55.48,53.01,42.05,38.92,48.97,45.96,37.69,39.71,62.19,55.0,50.29,52.35,49.0,48.99,39.71,39.62,,34.79,56.5,51.46,55.35,54.0,42.07,51.25,51.46,35.5,37.92,Monthly,Jul 19
2019-08-01,63.98,33.36,37.68,33.69,52.15,55.88,39.77,38.49,49.05,48.74,33.36,36.82,63.98,58.71,45.58,49.63,49.46,49.34,36.82,37.41,,35.36,61.56,44.95,60.21,58.98,40.64,54.61,44.95,37.25,33.85,Monthly,Aug 19
2019-09-01,60.95,31.21,38.05,33.58,55.3,55.39,39.73,36.15,48.78,48.76,35.55,35.77,60.95,55.69,44.09,51.18,48.86,48.8,35.77,36.58,,31.21,55.99,42.16,60.61,56.8,43.42,55.3,42.13,34.95,37.44,Monthly,Sep 19
2019-10-01,63.28,36.63,38.99,37.62,55.81,55.35,38.73,39.53,47.69,46.36,38.62,36.95,63.28,56.94,41.36,52.85,47.35,46.99,36.95,37.96,,36.63,53.17,47.19,57.31,58.13,41.85,55.22,47.15,38.25,39.98,Monthly,Oct 19
2019-11-01,55.35,41.0,42.75,44.41,41.46,45.16,42.21,42.11,45.72,45.71,45.95,41.0,55.35,43.93,52.0,48.17,45.26,44.7,41.0,42.71,,41.86,50.32,42.12,42.65,42.22,42.1,43.84,42.19,41.78,45.95,Monthly,Nov 19
2019-12-01,59.7,31.97,38.12,36.36,42.51,40.11,37.27,34.55,39.04,38.4,36.47,31.97,59.7,41.08,45.44,43.34,39.03,38.96,31.97,37.4,,37.14,44.55,33.68,41.44,41.19,38.91,39.52,33.81,35.96,40.84,Monthly,Dec 19
2020-01-01,58.39,24.13,40.69,37.85,54.99,51.32,41.81,25.88,30.82,27.14,37.97,34.98,58.39,52.96,42.07,47.46,30.82,30.82,34.98,37.07,,24.2,44.14,40.9,52.8,53.88,44.37,50.24,41.08,24.13,42.56,Monthly,Jan 20
2020-02-01,49.17,12.86,29.09,28.36,41.41,39.59,30.54,18.07,28.09,24.44,26.25,21.91,49.17,39.84,33.02,39.27,28.04,27.76,21.91,29.55,,12.86,40.87,36.03,40.49,39.95,30.72,39.26,35.86,17.68,34.12,Monthly,Feb 20
2020-03-01,43.6,8.37,24.6,24.02,28.27,29.41,25.41,18.91,23.99,20.35,23.83,22.52,43.6,29.75,34.33,31.98,23.99,23.97,22.52,24.75,,8.37,36.94,27.85,29.63,29.84,25.51,29.41,27.74,13.33,26.13,Monthly,Mar 20
2020-04-01,33.3,4.69,18.26,14.68,24.83,23.97,19.24,15.62,23.68,19.81,13.41,17.05,28.48,25.32,27.99,24.8,23.5,23.3,17.05,18.97,,4.69,33.3,17.73,25.56,25.08,19.34,23.74,17.61,9.07,17.18,Monthly,Apr 20
2020-05-01,38.55,7.77,17.53,15.41,23.36,22.43,18.1,17.17,25.02,19.46,14.87,17.6,34.27,23.57,23.56,21.78,24.52,24.52,17.6,17.67,,7.77,38.55,21.44,24.76,23.98,18.26,21.23,21.33,12.37,16.86,Monthly,May 20
2020-06-01,48.39,2.1,26.59,25.59,30.5,28.82,26.34,27.56,37.76,28.25,25.85,26.23,34.09,30.02,25.97,28.06,38.65,38.64,26.23,26.26,,2.1,48.39,30.66,30.36,29.84,26.34,27.96,30.63,21.17,25.71,Monthly,Jun 20
2020-07-01,48.98,1.88,32.31,29.87,36.78,35.43,32.77,25.17,30.17,20.27,33.42,30.07,41.17,36.69,30.08,38.0,31.87,31.77,30.07,29.35,,1.88,48.98,34.62,37.09,36.65,32.77,35.22,34.62,11.38,32.82,Monthly,Jul 20
2020-08-01,52.29,4.67,35.98,35.55,37.44,38.15,34.58,36.93,40.92,40.57,36.76,34.89,46.18,37.63,36.9,40.31,43.44,43.35,34.89,34.07,,4.67,52.29,36.13,37.89,37.26,35.18,37.61,36.21,31.71,35.53,Monthly,Aug 20
2020-09-01,53.74,9.21,45.54,44.23,46.21,45.85,44.89,38.84,39.55,37.78,47.19,43.68,46.52,45.72,44.33,48.77,39.85,39.44,43.68,42.6,,9.21,53.74,41.92,45.8,45.52,44.99,45.85,41.95,33.16,45.89,Monthly,Sep 20
2020-10-01,52.19,12.33,35.49,39.38,43.12,38.56,36.35,26.16,37.65,31.08,37.87,33.96,47.32,39.32,47.82,43.55,37.76,37.76,33.96,37.11,,12.33,52.19,36.43,42.21,39.31,36.36,38.56,36.55,22.58,38.21,Monthly,Oct 20
2020-11-01,53.55,4.86,41.18,39.93,47.72,47.23,41.41,28.26,40.99,27.64,40.14,38.8,52.57,48.92,45.94,48.77,41.1,41.19,38.8,41.05,,4.86,53.55,42.11,48.65,48.67,42.46,46.93,41.96,22.48,41.49,Monthly,Nov 20
2020-12-01,59.0,17.95,50.19,47.4,56.76,55.56,51.49,36.4,45.5,39.27,48.42,43.55,59.0,58.19,58.83,54.08,44.87,45.76,43.55,48.28,,17.95,56.65,42.04,58.4,57.95,51.56,54.52,41.97,29.79,51.36,Monthly,Dec 20
2021-01-01,78.39,45.79,57.68,57.44,53.17,53.87,56.16,50.44,53.57,51.25,59.47,52.79,52.51,56.39,78.39,60.7,53.56,53.66,52.79,53.62,,45.79,54.79,60.63,55.64,53.75,55.77,57.53,60.1,48.11,60.48,Monthly,Jan 21
2021-02-01,59.28,28.24,50.39,48.57,46.87,50.38,50.68,50.06,59.12,57.1,49.01,48.71,50.37,50.86,57.56,56.57,59.12,59.28,48.71,49.23,,48.01,58.89,28.24,48.12,46.86,50.49,50.38,28.54,51.57,53.88,Monthly,Feb 21
2021-03-01,72.85,35.6,53.65,46.63,52.08,55.94,53.74,45.73,43.51,38.32,50.23,47.18,57.64,55.05,72.85,60.41,43.51,47.99,47.18,48.89,,35.6,59.63,45.42,54.45,54.05,53.75,55.94,45.48,35.83,56.17,Monthly,Mar 21
2021-04-01,85.5,33.68,60.08,57.04,61.75,64.51,60.28,47.99,43.69,36.83,63.15,53.66,64.2,62.97,85.5,69.07,43.69,44.81,53.66,53.87,,38.2,59.36,64.98,62.83,63.62,60.69,64.51,65.06,33.68,63.67,Monthly,Apr 21
2021-05-01,96.71,42.9,54.81,55.61,60.02,59.88,59.29,54.62,48.36,45.9,55.26,53.33,63.19,59.94,96.71,69.94,48.36,50.38,53.33,56.12,,43.4,65.65,67.18,58.74,59.89,59.78,59.87,67.18,42.9,57.8,Monthly,May 21
2021-06-01,95.06,41.71,74.34,74.49,77.16,78.47,75.14,73.73,71.81,56.18,73.56,74.13,83.53,77.94,95.06,84.88,76.36,77.79,74.13,76.51,,41.71,76.23,83.3,76.88,78.69,75.83,78.47,83.31,44.57,73.61,Monthly,Jun 21
2021-07-01,143.47,48.64,83.61,77.37,95.0,93.68,85.0,80.46,83.7,78.79,78.31,81.29,102.03,95.15,143.47,102.72,88.25,88.25,81.29,82.58,,48.64,82.34,92.55,93.84,95.32,86.37,93.65,92.37,58.46,80.9,Monthly,Jul 21
2021-08-01,131.48,63.86,82.94,79.55,111.53,105.63,84.99,83.49,87.15,68.14,77.4,82.81,121.61,109.06,131.48,112.66,87.44,87.85,82.81,86.66,,63.86,82.4,106.13,112.74,109.71,85.59,105.58,106.08,67.26,82.66,Monthly,Aug 21
2021-09-01,195.36,85.25,134.69,136.15,125.07,138.6,129.71,124.76,122.37,89.3,135.3,128.34,134.72,135.13,195.36,158.75,123.47,123.93,128.34,136.39,,85.25,102.24,156.79,133.92,135.14,132.65,138.6,156.4,89.31,138.21,Monthly,Sep 21
2021-10-01,218.04,61.44,169.78,165.37,188.57,202.73,140.62,112.93,105.61,64.85,172.54,139.54,198.52,197.29,218.04,217.66,106.4,108.92,139.54,163.81,,70.33,103.23,199.7,192.32,201.48,151.17,202.73,199.67,61.44,198.32,Monthly,Oct 21
2021-11-01,228.88,80.8,206.31,202.17,208.7,215.96,180.31,139.97,116.88,86.05,217.24,176.25,228.88,215.91,204.66,226.02,125.48,127.91,176.25,186.3,,82.16,117.8,193.79,212.55,218.28,185.38,215.81,193.72,80.8,226.99,Monthly,Nov 21
2021-12-01,282.14,135.92,250.03,245.43,219.75,251.76,228.59,189.96,202.55,193.27,274.51,220.96,235.36,245.7,250.4,280.97,207.3,212.11,220.96,237.8,,135.92,179.38,239.07,230.14,246.37,231.95,252.4,238.97,156.71,282.14,Monthly,Dec 21
2022-01-01,227.35,88.21,189.16,191.56,186.43,206.9,179.72,115.64,141.86,106.83,211.58,167.87,227.35,204.92,201.4,224.49,143.96,146.01,167.87,189.24,,101.33,143.99,201.98,192.15,209.57,194.79,206.9,201.8,88.21,219.48,Monthly,Jan 22
2022-02-01,211.75,65.23,167.8,162.64,187.54,195.5,155.03,108.21,104.59,80.85,185.63,128.78,211.73,194.29,175.23,211.75,104.64,104.67,128.78,168.29,,84.58,116.81,200.81,188.25,198.8,171.37,195.4,200.31,65.23,208.71,Monthly,Feb 22
2022-03-01,307.99,86.63,282.63,265.51,248.88,293.44,259.82,232.72,151.16,86.63,295.17,251.76,272.32,285.23,293.2,307.99,167.14,170.06,251.76,261.03,,131.45,141.33,283.09,274.1,291.97,279.1,293.44,283.19,108.39,306.09,Monthly,Mar 22
2022-04-01,246.91,79.42,186.41,186.72,174.51,192.69,174.35,159.66,100.71,79.42,232.92,166.0,246.91,189.45,,245.78,109.45,116.52,166.0,195.31,,127.81,124.27,192.01,174.8,191.74,183.68,192.69,191.52,83.56,227.2,Monthly,Apr 22
2022-05-01,230.05,95.36,184.52,176.67,201.8,202.06,189.02,168.51,151.36,132.35,197.46,177.51,225.07,204.87,,230.05,164.35,164.86,177.51,181.4,,106.69,140.64,187.19,202.28,205.8,194.8,202.06,187.16,95.36,197.09,Monthly,May 22
2022-06-01,271.58,104.0,228.58,219.29,223.16,245.58,224.96,214.16,174.6,140.33,248.73,218.18,240.83,237.06,,271.58,217.69,222.65,218.18,210.7,,104.0,185.27,169.63,230.49,242.67,235.8,246.11,169.43,114.83,255.19,Monthly,Jun 22
2022-07-01,441.74,74.8,359.2,321.55,323.4,375.56,319.64,259.55,233.69,183.92,400.95,315.26,338.32,371.23,,441.74,304.98,305.38,315.26,306.86,,128.94,220.08,143.83,367.31,384.27,368.43,374.96,142.68,74.8,383.27,Monthly,Jul 22
2022-08-01,543.48,154.99,489.46,448.12,433.22,494.05,476.73,454.45,360.7,261.53,492.99,469.35,436.76,495.65,,543.48,467.09,480.5,469.35,447.25,,246.07,268.88,157.36,490.8,492.45,492.47,494.38,154.99,190.12,488.14,Monthly,Aug 22
2022-09-01,429.21,140.92,401.46,345.73,375.13,391.73,364.45,336.76,229.42,215.46,393.55,360.18,416.41,390.42,,429.21,351.48,359.38,360.18,340.89,,238.52,175.5,141.1,377.92,395.1,386.52,394.66,140.92,190.08,403.79,Monthly,Sep 22
2022-10-01,232.16,67.95,183.9,157.51,205.92,196.69,168.06,137.08,174.15,113.21,178.89,157.78,232.16,193.91,154.68,211.26,189.16,189.21,157.78,155.51,,89.32,134.12,127.22,206.01,204.42,188.29,196.89,127.22,67.95,183.97,Monthly,Oct 22
2022-11-01,227.84,88.74,213.13,180.7,220.23,219.66,197.08,141.92,219.23,195.62,192.16,175.45,227.84,223.01,,224.72,226.68,226.87,175.45,179.48,,88.74,170.95,115.4,222.54,216.65,215.85,222.73,115.57,119.35,219.34,Monthly,Nov 22
2022-12-01,294.81,96.35,265.72,268.88,246.56,246.37,250.42,248.97,263.05,245.6,270.49,256.66,276.97,260.78,,294.81,263.51,263.88,256.66,258.49,,217.2,173.55,96.35,247.59,241.43,257.7,264.25,96.75,234.59,279.69,Monthly,Dec 22
2023-01-01,191.66,69.53,145.16,130.87,136.3,136.98,134.81,107.57,99.38,78.87,132.28,135.59,191.66,148.8,,174.44,99.85,103.17,135.59,126.13,,97.09,132.59,69.53,136.3,135.96,146.58,146.65,69.73,80.66,157.46,Monthly,Jan 23
2023-02-01,161.03,71.22,144.65,143.51,142.37,145.24,139.25,111.36,113.09,80.04,148.78,128.39,156.25,146.27,159.19,161.03,113.74,114.66,128.39,134.91,,80.8,136.85,134.25,142.56,145.42,145.42,145.64,133.49,71.22,153.76,Monthly,Feb 23
2023-03-01,136.25,69.02,113.23,109.48,108.43,111.62,110.7,95.27,87.08,74.13,111.81,102.4,122.75,113.23,,136.25,87.67,88.59,102.4,104.44,,82.45,120.43,89.93,108.43,105.77,112.79,113.56,89.58,69.02,124.43,Monthly,Mar 23
2023-04-01,134.92,60.54,104.89,105.62,98.81,105.47,105.76,91.44,65.88,60.54,106.45,100.83,120.44,106.8,,134.92,65.88,67.26,100.83,98.71,,79.47,122.03,77.05,97.52,106.67,106.29,106.09,73.82,60.95,116.12,Monthly,Apr 23
2023-05-01,105.67,26.52,82.25,80.11,87.29,86.8,85.23,70.86,65.69,26.52,77.48,81.65,105.46,88.12,105.54,105.65,78.14,78.14,81.65,77.88,92.5,51.39,105.67,76.05,87.06,87.33,87.56,86.09,74.17,37.3,85.8,Monthly,May 23
2023-06-01,118.3,43.43,94.9,93.17,84.97,94.34,95.73,92.22,91.54,43.43,91.28,94.84,91.6,96.68,,105.39,98.08,98.08,94.84,92.04,82.98,51.78,118.3,95.62,85.24,89.17,96.69,95.11,93.05,52.26,92.23,Monthly,Jun 23
2023-07-01,115.73,32.71,84.72,75.29,96.65,92.31,86.93,64.78,79.35,32.93,77.62,77.48,112.63,94.86,,112.07,83.63,83.63,77.48,71.69,104.13,35.87,115.73,93.79,96.75,95.32,90.96,90.21,90.46,32.71,82.42,Monthly,Jul 23
2023-08-01,111.97,28.87,92.78,92.05,101.39,96.17,92.51,86.19,94.49,66.42,90.96,94.41,109.33,100.47,,111.97,102.6,102.6,94.41,91.42,98.19,28.87,107.06,97.91,101.69,96.84,94.5,94.76,96.09,30.6,94.53,Monthly,Aug 23
2023-09-01,128.96,32.05,105.95,105.48,127.86,118.57,106.6,109.08,118.33,108.5,101.72,109.21,128.96,126.83,,117.83,118.33,118.33,109.21,108.75,118.63,32.05,115.93,105.33,127.86,118.18,114.18,115.54,105.33,40.19,105.94,Daily (1 year),01 Sep 23 (Fri)
2023-09-01,117.01,15.8,101.38,94.35,101.66,102.69,101.85,85.03,113.19,32.75,88.71,100.73,101.93,103.82,,115.69,116.98,117.01,100.73,98.7,102.81,15.8,109.83,104.17,103.19,103.06,103.59,102.56,103.36,21.74,97.02,Monthly,Sep 23
2023-09-02,109.38,21.0,94.69,93.73,96.49,95.25,94.55,87.77,85.41,83.51,92.48,94.97,96.93,96.95,,96.27,85.41,85.41,94.97,94.82,109.38,26.75,103.54,101.54,96.49,107.99,95.55,94.84,101.54,21.0,93.39,Daily (1 year),02 Sep 23 (Sat)
2023-09-03,92.9,19.31,80.45,80.66,80.65,80.36,81.52,76.39,71.51,32.35,70.83,82.19,81.76,81.12,,92.9,71.51,71.51,82.19,82.73,87.36,21.83,90.42,61.36,80.65,86.91,81.27,80.13,61.24,19.31,82.36,Daily (1 year),03 Sep 23 (Sun)
2023-09-04,147.52,12.76,104.57,102.53,102.9,104.95,106.86,107.99,147.52,12.76,88.83,108.08,102.84,106.22,,103.43,147.52,147.52,108.08,106.82,99.75,21.64,124.0,88.42,102.9,104.4,106.26,104.77,88.42,20.23,100.35,Daily (1 year),04 Sep 23 (Mon)
2023-09-05,108.46,15.39,102.58,100.13,100.52,101.74,102.72,102.74,95.75,26.52,95.04,103.03,99.61,102.51,,104.49,108.46,108.46,103.03,102.25,101.76,23.16,107.08,105.43,100.52,99.43,102.59,101.76,105.43,15.39,104.63,Daily (1 year),05 Sep 23 (Tue)
2023-09-06,130.35,25.83,105.72,102.89,103.13,104.88,105.92,106.11,130.35,43.33,100.96,106.13,106.48,105.81,,107.36,130.35,130.35,106.13,104.01,103.68,25.83,108.12,107.01,103.35,103.13,105.86,105.11,107.01,43.55,101.93,Daily (1 year),06 Sep 23 (Wed)
2023-09-07,169.45,25.7,100.23,100.87,96.57,98.56,99.23,99.57,168.69,50.08,100.41,100.13,97.71,98.86,,111.68,169.45,169.45,100.13,99.1,100.55,25.7,102.31,106.82,97.6,104.13,98.99,98.7,106.82,43.47,100.57,Daily (1 year),07 Sep 23 (Thu)
2023-09-08,124.48,24.88,108.32,107.44,103.44,108.1,109.21,109.88,124.48,94.03,102.44,109.96,98.43,108.89,,111.3,124.48,124.48,109.96,109.45,93.2,24.88,111.19,104.74,103.44,105.14,109.0,108.1,104.74,67.55,106.51,Daily (1 year),08 Sep 23 (Fri)
2023-09-09,121.51,6.66,92.81,91.89,91.22,91.32,91.06,91.4,110.39,6.66,92.18,91.62,91.22,91.08,,101.63,121.51,121.51,91.62,89.63,83.41,21.1,108.15,100.72,91.22,88.87,91.07,91.42,100.56,9.34,90.6,Daily (1 year),09 Sep 23 (Sat)
2023-09-10,108.07,11.37,83.81,83.11,74.42,83.11,84.29,85.0,82.39,11.37,78.52,84.97,74.27,83.92,,108.07,90.47,90.47,84.97,85.09,81.05,20.18,86.06,103.29,80.27,83.97,83.88,83.35,101.9,12.04,82.63,Daily (1 year),10 Sep 23 (Sun)
2023-09-11,191.2,22.74,145.77,133.1,140.55,144.65,146.91,151.84,186.98,106.32,115.93,153.24,117.66,145.88,,127.04,191.2,191.2,153.24,148.43,82.85,22.74,131.15,116.63,145.68,124.27,146.49,144.12,116.63,50.2,111.89,Daily (1 year),11 Sep 23 (Mon)
2023-09-12,149.66,11.09,129.08,119.96,106.73,127.71,128.95,131.24,111.56,11.09,108.57,131.24,103.75,128.66,,126.61,148.54,149.66,131.24,127.82,136.61,23.59,127.6,115.98,128.44,148.29,128.84,127.28,115.98,28.2,121.52,Daily (1 year),12 Sep 23 (Tue)
2023-09-13,137.06,23.48,110.96,103.66,112.5,112.03,111.29,106.07,137.06,92.64,104.93,109.3,112.46,113.0,,127.24,137.06,137.06,109.3,104.14,115.59,23.48,115.92,107.54,113.53,114.23,113.05,111.78,107.54,58.55,107.89,Daily (1 year),13 Sep 23 (Wed)
2023-09-14,128.91,23.93,118.74,108.43,117.62,121.75,120.21,120.75,124.13,95.96,101.29,120.75,116.81,120.95,,128.91,124.13,124.13,120.75,116.82,126.83,23.93,121.51,108.11,118.07,126.73,120.86,122.97,108.11,75.79,106.71,Daily (1 year),14 Sep 23 (Thu)
2023-09-15,154.14,22.11,107.58,100.46,115.36,108.9,108.39,107.87,154.14,98.72,95.46,107.87,114.98,109.39,,130.36,154.14,154.14,107.87,106.3,117.38,22.11,117.62,115.8,115.36,111.7,109.62,108.92,115.8,35.52,101.49,Daily (1 year),15 Sep 23 (Fri)
2023-09-16,128.1,11.2,94.08,90.07,94.64,94.27,94.93,96.2,120.0,11.2,80.92,96.2,95.22,94.77,,119.96,128.1,128.1,96.2,95.89,95.53,18.94,97.24,98.03,94.64,94.43,94.83,94.1,98.03,22.63,87.83,Daily (1 year),16 Sep 23 (Sat)
2023-09-17,111.93,9.66,83.73,82.12,84.73,84.35,85.29,64.99,111.93,9.66,70.6,86.29,85.56,84.8,,108.97,111.93,111.93,86.29,87.65,83.68,16.15,94.53,61.65,84.73,79.23,85.07,84.24,61.65,14.43,80.44,Daily (1 year),17 Sep 23 (Sun)
2023-09-18,132.68,7.39,87.91,74.34,88.39,87.7,87.9,22.55,132.68,34.02,74.01,87.74,87.06,88.53,,122.96,132.68,132.68,87.74,79.25,96.39,8.76,103.76,109.38,88.39,93.08,88.6,87.32,109.38,7.39,97.82,Daily (1 year),18 Sep 23 (Mon)
2023-09-19,124.54,-1.44,68.69,39.1,82.0,92.66,66.12,-0.74,88.95,-0.17,40.58,37.48,79.91,91.59,,124.54,102.74,102.74,37.48,37.23,80.71,-1.44,107.16,108.06,92.47,78.64,92.5,91.66,108.06,-0.18,86.17,Daily (1 year),19 Sep 23 (Tue)
2023-09-20,126.99,-1.07,80.69,46.8,115.97,100.31,84.1,1.71,116.67,2.17,44.4,55.67,109.46,98.99,,126.99,116.67,116.67,55.67,51.62,93.75,-1.07,113.24,91.76,115.97,91.05,100.1,96.7,91.43,2.32,68.0,Daily (1 year),20 Sep 23 (Wed)
2023-09-21,158.0,1.28,104.84,94.3,105.29,104.43,104.58,54.35,158.0,1.28,85.83,104.16,104.06,104.98,,118.71,158.0,158.0,104.16,103.68,110.31,3.68,99.68,93.87,105.33,108.33,105.37,104.12,93.87,1.28,90.81,Daily (1 year),21 Sep 23 (Thu)
2023-09-22,123.6,1.01,104.83,97.89,106.56,104.61,105.78,104.88,90.27,1.01,86.96,105.44,109.78,105.5,,123.6,108.16,108.16,105.44,104.85,102.29,5.38,107.79,103.36,106.56,102.86,105.93,103.9,103.36,7.67,100.58,Daily (1 year),22 Sep 23 (Fri)
2023-09-23,114.9,3.06,99.55,97.86,100.77,100.32,99.61,91.23,110.21,3.06,96.78,98.5,104.47,100.73,,114.9,110.21,110.21,98.5,98.81,103.22,8.99,110.71,110.81,100.77,94.31,101.13,100.09,110.78,3.06,92.63,Daily (1 year),23 Sep 23 (Sat)
2023-09-24,102.83,2.21,62.34,52.38,62.19,61.29,62.82,53.96,40.15,2.21,45.28,62.93,86.74,62.37,,95.22,40.15,40.15,62.93,60.12,91.24,7.05,102.83,101.66,62.19,79.11,62.61,60.75,82.21,5.29,71.94,Daily (1 year),24 Sep 23 (Sun)
2023-09-25,129.89,-0.4,110.86,105.85,108.48,109.4,111.7,65.22,105.21,-0.4,94.39,113.2,113.02,110.86,,114.6,105.21,105.21,113.2,111.27,103.72,1.88,129.89,119.13,108.48,107.45,111.03,109.49,118.63,-0.4,102.94,Daily (1 year),25 Sep 23 (Mon)
2023-09-26,128.15,2.52,123.54,118.68,112.79,116.72,125.27,127.04,110.05,2.52,112.72,128.15,112.24,123.09,,121.34,110.05,110.05,128.15,125.1,120.2,8.2,120.82,123.57,112.79,117.3,124.17,123.8,123.57,20.26,113.4,Daily (1 year),26 Sep 23 (Tue)
2023-09-27,127.88,10.8,120.23,109.96,106.82,114.26,120.26,115.72,103.21,10.8,101.1,123.02,108.06,118.36,,127.88,103.21,103.21,123.02,118.34,118.83,12.86,118.64,115.25,106.82,110.74,119.16,114.79,114.35,14.56,105.86,Daily (1 year),27 Sep 23 (Wed)
